gestfips,h_year,hearnval,hfdval,hfoodsp,hlorent,hmcaid,hpawval,hpaw_yn,hpublic,hssival,h_seq,gtmetsta,ffpos,f_mv_fs,povll,pehspnon,prdtrace,prcitshp,pemlr,a_age,a_maritl,a_hga,marsupwt,dis_hp,hea,mcaid,paw_val,paw_yn,pearnval,pov_univ,pppos,spm_id,ssi_val,ssi_yn,wkswork,racecat
California,2023,40000,0,2,0,3,0,2,0,0,79439,1,1,0,9,1,1,1,1,30,7,39,4662.61,2,3,2,0,2,40000,1,41,79439001,0,2,52,4
California,2023,114000,0,2,0,3,0,2,0,0,79440,1,1,0,14,1,1,1,1,32,3,40,2483.59,2,5,2,0,2,66000,1,42,79440001,0,2,48,4
California,2023,110000,0,2,0,3,0,2,0,0,79442,1,1,0,14,1,1,1,1,56,5,43,1826.55,2,2,2,0,2,50000,1,41,79442001,0,2,52,4
California,2023,185000,0,2,0,3,0,2,0,0,79444,1,1,0,14,2,1,1,1,55,1,39,4484.74,2,3,2,0,2,150000,1,41,79444001,0,2,52,1
California,2023,82000,23,1,2,2,0,2,2,0,79445,1,1,23,10,2,1,1,1,24,7,39,5758.21,2,1,2,0,2,50000,1,41,79445001,0,2,52,1
California,2023,82000,23,1,2,2,0,2,2,0,79445,1,2,0,10,2,1,1,1,22,7,42,5758.21,2,1,1,0,2,32000,1,42,79445001,0,2,50,1
California,2023,62400,0,2,0,3,0,2,0,0,79446,1,1,0,12,2,1,1,1,43,5,39,4490.3,2,1,2,0,2,62400,1,41,79446001,0,2,52,1
California,2023,0,0,2,2,3,0,2,2,0,79448,1,1,0,9,2,1,1,5,74,1,39,3832.83,2,3,2,0,2,0,1,42,79448001,0,2,0,1
California,2023,170000,0,2,2,3,0,2,2,0,79463,1,1,0,13,2,4,4,1,60,7,43,2687.81,2,3,2,0,2,60000,1,41,79463001,0,2,52,3
California,2023,170000,0,2,2,3,0,2,2,0,79463,1,2,0,13,2,4,5,1,36,1,43,2783.98,2,3,2,0,2,15000,1,44,79463001,0,2,52,3
California,2023,43000,0,2,0,3,0,2,0,0,79481,1,1,0,10,1,1,1,5,63,1,33,2224.59,2,2,2,0,2,0,1,41,79481001,0,2,0,4
California,2023,0,0,2,2,3,0,2,2,0,79482,1,1,0,2,1,1,1,6,61,7,39,2193.69,2,4,2,0,2,0,1,41,79482001,0,2,0,4
California,2023,53000,0,2,0,3,0,2,0,0,79483,1,1,0,9,1,1,4,1,57,1,36,2110.61,2,2,2,0,2,23000,1,41,79483001,0,2,52,4
California,2023,38000,8700,1,2,2,14400,1,2,0,79484,1,1,8700,4,1,1,5,7,42,1,34,2109.11,2,3,1,14400,1,0,1,42,79484001,0,2,0,4
California,2023,35000,0,2,2,1,0,2,2,0,79485,1,1,0,6,1,1,1,0,4,7,0,2521.76,0,1,1,0,0,0,1,44,79485001,0,0,0,4
California,2023,0,0,2,0,3,0,2,0,0,79486,1,1,0,4,1,1,1,5,80,4,44,1997.68,2,3,2,0,2,0,1,41,79486001,0,2,0,4
California,2023,140110,0,2,0,3,0,2,0,0,79488,1,1,0,14,1,1,5,1,38,7,42,2093.82,2,1,2,0,2,50000,1,41,79488001,0,2,52,4
California,2023,0,300,1,0,1,0,2,0,0,79490,1,1,150,4,1,1,1,6,80,5,36,1913.18,1,4,1,0,2,0,1,41,79490001,0,2,0,4
California,2023,0,300,1,0,1,0,2,0,0,79490,1,2,150,1,1,1,1,7,42,7,34,2306.06,2,3,1,0,2,0,1,42,79490003,0,2,0,4
California,2023,30000,700,1,2,2,0,2,2,0,79491,1,1,700,3,1,1,5,1,26,7,39,2836.34,2,3,2,0,2,15000,1,41,79491001,0,2,40,4
California,2023,30000,700,1,2,2,0,2,2,0,79491,1,2,0,3,1,1,4,1,42,7,39,2522.58,2,3,1,0,2,15000,1,42,79491003,0,2,40,4
California,2023,39000,0,2,1,1,0,2,2,0,79492,1,1,0,10,1,3,1,1,47,7,42,2924.07,2,3,1,0,2,24000,1,41,79492001,0,2,52,4
California,2023,145000,0,2,0,3,0,2,0,0,79493,1,1,0,14,1,1,5,2,36,1,39,2210.58,2,3,2,0,2,65000,1,42,79493001,0,2,52,4
California,2023,37000,0,2,0,3,0,2,0,0,79494,1,1,0,8,1,1,5,1,59,5,33,1944.8,2,2,2,0,2,37000,1,41,79494001,0,2,32,4
California,2023,35100,0,2,0,3,0,2,0,0,79495,1,1,0,11,1,1,1,5,72,1,32,2268.63,2,2,2,0,2,0,1,41,79495001,0,2,0,4
California,2023,0,3780,1,0,1,0,2,0,10800,79499,1,1,3780,2,1,1,1,6,28,7,39,2373.61,1,3,1,0,2,0,1,41,79499001,10800,1,0,4
California,2023,150280,0,2,0,3,0,2,0,0,79501,1,1,0,14,1,1,1,1,35,7,39,4743.75,2,1,2,0,2,57200,1,43,79501001,0,2,52,4
California,2023,50000,0,2,2,3,0,2,2,0,79503,1,1,0,10,2,2,1,1,40,5,40,3323.55,2,3,2,0,2,50000,1,41,79503001,0,2,52,2
California,2023,82000,0,2,0,3,0,2,0,0,79504,1,1,0,9,2,4,4,5,65,6,34,2457.8,2,3,2,0,2,0,1,44,79504001,0,2,0,3
California,2023,100000,0,2,0,3,0,2,0,0,79505,1,1,0,14,2,1,1,5,54,1,43,2453.64,2,2,2,0,2,0,1,41,79505001,0,2,0,1
California,2023,0,2400,1,2,1,0,2,2,13800,79506,1,1,2400,3,2,2,1,6,58,4,37,3277.33,1,4,1,0,2,0,1,41,79506001,13800,1,0,2
California,2023,34000,0,2,2,1,0,2,2,0,79507,1,1,0,10,1,1,1,1,65,1,34,1752.12,2,2,1,0,2,34000,1,41,79507001,0,2,52,4
California,2023,0,7200,1,2,1,24000,1,2,0,79508,1,1,7200,1,2,2,1,7,31,7,35,4293.05,2,4,1,12000,1,0,1,46,79508001,0,2,0,2
California,2023,34000,9000,1,2,3,0,2,2,0,79509,1,1,9000,2,1,1,1,0,8,7,0,1534.88,0,1,2,0,0,0,1,46,79509001,0,0,0,4
California,2023,120000,0,2,0,3,0,2,0,0,79510,1,1,0,12,2,1,1,1,47,1,43,2312.5,2,3,2,0,2,120000,1,42,79510001,0,2,52,1
California,2023,227000,0,2,0,3,0,2,0,0,79511,1,1,0,14,1,1,1,1,38,1,43,1790.85,2,2,2,0,2,97000,1,41,79511001,0,2,52,4
California,2023,0,0,2,0,3,0,2,0,0,79512,1,1,0,1,2,1,1,5,85,1,41,3566.61,2,2,2,0,2,0,1,41,79512001,0,2,0,1
California,2023,0,0,2,0,2,0,2,0,0,79513,1,1,0,2,2,1,1,5,62,7,43,4134.37,2,1,1,0,2,0,1,41,79513001,0,2,0,1
California,2023,0,0,2,0,2,0,2,0,0,79513,1,2,0,8,2,1,1,5,72,7,39,4134.37,2,1,2,0,2,0,1,42,79513001,0,2,0,1
California,2023,5000,3000,1,2,1,0,2,2,18000,79518,1,1,3000,6,2,1,1,1,20,7,39,6054.15,2,4,1,0,2,5000,1,41,79518001,18000,1,26,1
California,2023,84000,3360,1,2,2,0,2,2,0,79519,1,1,0,5,2,1,1,1,25,7,39,6209.16,2,3,1,0,2,20000,1,41,79519001,0,2,52,1
California,2023,84000,3360,1,2,2,0,2,2,0,79519,1,2,3360,3,2,1,1,1,27,7,39,6209.16,2,3,2,0,2,12000,1,42,79519001,0,2,52,1
California,2023,84000,3360,1,2,2,0,2,2,0,79519,1,3,0,10,2,1,1,1,25,7,39,6209.16,2,3,2,0,2,52000,1,43,79519004,0,2,52,1
California,2023,0,480,1,0,1,0,2,1,14820,79520,1,1,480,4,2,1,1,5,65,5,43,3765.61,1,4,1,0,2,0,1,41,79520001,14820,1,0,1
California,2023,46000,2364,1,0,1,0,2,1,13800,79521,1,1,2364,10,1,1,1,4,28,7,36,4958.45,2,3,1,0,2,25000,1,43,79521001,0,2,40,4
California,2023,460000,0,2,0,2,0,2,0,0,79526,1,1,0,1,2,1,1,7,41,5,43,2545.56,2,2,1,0,2,0,1,41,79526001,0,2,0,1
California,2023,460000,0,2,0,2,0,2,0,0,79526,1,2,0,14,2,1,1,1,45,7,43,2545.56,2,2,2,0,2,400000,1,43,79526001,0,2,52,1
California,2023,460000,0,2,0,2,0,2,0,0,79526,1,3,0,12,2,1,1,1,45,7,44,2572.6,2,2,2,0,2,60000,1,44,79526004,0,2,52,1
California,2023,52000,0,2,2,3,0,2,2,0,79527,1,1,0,10,2,1,1,1,53,7,39,4729.4,2,3,2,0,2,52000,1,41,79527001,0,2,52,1
California,2023,0,0,2,0,3,0,2,0,0,79528,1,1,0,14,2,1,1,5,74,5,40,4242.81,2,4,2,0,2,0,1,41,79528001,0,2,0,1
California,2023,0,3372,1,0,1,0,2,1,0,79529,1,1,3372,4,2,1,1,6,62,5,43,4626.99,1,3,1,0,2,0,1,41,79529001,0,2,0,1
California,2023,0,0,2,0,3,0,2,0,0,79534,1,1,0,9,2,1,1,5,65,1,41,4050.61,2,3,2,0,2,0,1,41,79534001,0,2,0,1
California,2023,0,684,1,0,3,0,2,0,0,79535,1,1,684,11,2,1,1,5,64,4,39,3878.4,1,3,2,0,2,0,1,41,79535001,0,2,0,1
California,2023,0,0,2,0,3,0,2,0,0,79536,1,1,0,10,2,1,1,5,80,4,43,3554.82,2,4,2,0,2,0,1,41,79536001,0,2,0,1
California,2023,50371,0,2,0,2,0,2,0,0,79537,1,1,0,12,2,1,1,4,36,7,39,2167.5,2,2,1,0,2,-9999,1,41,79537001,0,2,52,1
California,2023,50371,0,2,0,2,0,2,0,0,79537,1,2,0,12,2,1,1,7,62,1,39,2486.72,2,4,2,0,2,0,1,44,79537001,0,2,0,1
California,2023,0,684,1,0,1,276,1,1,984,79538,1,1,684,11,2,1,1,6,73,5,42,4114.53,1,5,1,276,1,0,1,41,79538001,984,1,0,1
California,2023,135000,0,2,0,2,0,2,0,0,79540,1,1,0,14,2,1,1,1,66,4,43,2080.37,2,4,2,0,2,100000,1,41,79540001,0,2,52,1
California,2023,135000,0,2,0,2,0,2,0,0,79540,1,2,0,14,2,1,1,1,29,5,42,3262.76,2,3,1,0,2,35000,1,43,79540001,0,2,52,1
California,2023,145000,0,2,0,3,0,2,0,0,79541,1,1,0,14,2,1,1,2,47,1,44,2553.39,2,1,2,0,2,100000,1,42,79541001,0,2,52,1
California,2023,68000,0,2,0,3,0,2,1,0,79542,1,1,0,10,2,1,1,0,13,7,0,2808.46,0,3,2,0,0,0,1,42,79542001,0,0,0,1
California,2023,80000,0,2,2,3,0,2,2,0,79543,1,1,0,9,2,1,1,1,30,7,43,5258.78,2,1,2,0,2,40000,1,41,79543001,0,2,52,1
California,2023,80000,0,2,2,3,0,2,2,0,79543,1,2,0,9,2,1,1,1,30,7,40,5258.78,2,1,2,0,2,40000,1,42,79543001,0,2,52,1
California,2023,165000,0,2,0,3,0,2,0,0,79544,1,1,0,14,2,1,1,5,54,1,43,4353.3,2,3,2,0,2,0,1,42,79544001,0,2,0,1
California,2023,16150,0,2,2,3,0,2,2,0,79545,1,1,0,1,2,1,1,1,39,7,43,6603.48,2,2,2,0,2,150,1,41,79545001,0,2,52,1
California,2023,16150,0,2,2,3,0,2,2,0,79545,1,2,0,4,2,1,1,1,24,7,40,6603.48,2,2,2,0,2,16000,1,42,79545001,0,2,28,1
California,2023,9983,0,2,2,3,0,2,2,0,79546,1,1,0,4,2,1,1,1,22,7,43,5914.05,2,2,2,0,2,9983,1,41,79546001,0,2,26,1
California,2023,72000,0,2,2,3,0,2,2,0,79547,1,1,0,1,2,1,1,5,46,7,41,4063.15,2,3,2,0,2,0,1,41,79547001,0,2,0,1
California,2023,72000,0,2,2,3,0,2,2,0,79547,1,2,0,13,2,1,1,1,63,5,42,4063.15,2,2,2,0,2,72000,1,42,79547001,0,2,52,1
California,2023,95000,0,2,0,3,0,2,0,0,79548,1,1,0,10,2,1,1,1,33,1,40,2761.98,2,1,2,0,2,95000,1,41,79548001,0,2,52,1
California,2023,173000,0,2,0,3,0,2,0,0,79549,1,1,0,14,2,1,1,7,17,7,36,2990.32,2,1,2,0,2,0,1,42,79549001,0,2,0,1
California,2023,18000,2160,1,2,2,0,2,2,12096,79550,1,1,2160,4,1,1,1,1,20,7,39,2191.91,2,1,2,0,2,18000,1,41,79550001,0,2,52,4
California,2023,18000,2160,1,2,2,0,2,2,12096,79550,1,2,0,4,1,1,1,0,14,7,0,2061.61,0,3,1,0,0,0,1,44,79550001,0,0,0,4
